hú3	húð
5ess	þess
6friður	ófriður
vanale9t	vanalegt
]ýsa	lýsa
f/óra	fjóra
/rumvarp	frumvarp
me&	með
|>jer	Þjer
£á	Þá
3?etta	Þetta
3>etta	Þetta
sam	sem
aaka	auka
maani	manni
aerið	ærið
þaer	þær
naégilegt	nægilegt
aötti	ætti
flöskuná	flöskuna
trá	trú
blut	hlut
fræba	fræða
Bn	En
persbnuleg	persónuleg
saubfje	sauðfje
verBa	verða
sBgur	sögur
gjbld	gjöld
klofnubu	klofnuðu
bans	hans
fullnaBarpróf	fullnaðarpróf
fulltrúuBi	fulltrúum
gcfa	gefa
kaupcndum	kaupendum
cn	en
scnd	send
málcfni	málefni
lceknis	læknis
cettu	ættu
breicid	breidd
bænclur	bændur
breidcl	breidd
sencl	send
þjdð	þjóð
tídindi	tíðindi
ndttúru-	náttúru-
þad	það
sðlu	sölu
ljðsi	ljósi
rönð	rönd
blðð	blöð
nðg	nóg
áeóða	ágóða
Eitstjóri	Ritstjóri
éigi	eigi
fað	það
annrfkis	annríkis
sveifamenn	sveitamenn
sfeinn	steinn
lftið	lítið
Englendfngur	Englendingur
fslendingar	Íslendingar
þvf	því
fafnframt	jafnframt
F*eir	Þeir
f>eir	þeir
favílík	hvílík
hættulegfc	hættulegt
fcelja	telja
felöðum	blöðum
fulltrfia	fulltrúa
flafir	hafir
samhljófta	samhljóða
kftgun	kúgun
gtyrktir	styrktir
samþyhkt	samþykkt
Hggur	liggur
umhoðsmanni	umboðsmanni
hanh	hann
sjúkhngnum	sjúklingnum
hetur	betur
háskóh	háskóli
alhr	allir
shipaður	skipaður
uhgur	ungur
hggur	liggur
Htið	litið
skáhöH	skáhöll
hreytti	breytti
hluturhm	hluturinn
iítið	lítið
aimennings	almennings
sild	síld
Ijós	ljós
ritgeiðir	ritgerðir
frjálsiyndi	frjálslyndi
forspuit	forspurt
i	í
hait	haft
iyrir	fyrir
dæmaiaus	dæmalaus
Ijósi	ljósi
beziu	beztu
haii	hafi
tii	til
harðstiórn	harðstjórn
fæddui	fæddur
ietur	letur
irygð	trygð
fiéttir	fréttir
sniallræði	snjallræði
ofanverðii	ofanverðri
i'rá	frá
fi'á	frá
þeii'	þeir
Amtmaðurinii	Amtmaðurinn
mjiig	mjög
iieitir	heitir
iim	um
briin	brún
þinilar	þinnar
fiimst	finnst
saimar	sannar
koina	koma
inínum	mínum
iuenn	menn
íyrnast	fyrnast
heiía	heita
fíata	flata
íétt	rétt
þóttí	þótti
miíaptni	miðaptni
haíi	hafi
íyrst	fyrst
íithöfundurinn	rithöfundurinn
seít	sett
íafnvel	jafnvel
írygging	trygging
höí'undur	höfundur
í>ess	Þess
sículda	skulda
íir	úr
ríimum	rúmum
lííta	láta
þvj	því
sjnum	sýnum
Jjós	ljósi
Jað	Það
Jíka	líka
kostj	kosti
þessaji	þessari
fyrirhejtin	fyrirheitin
jrumvarpið	frumvarpið
J>ing	Þing
j>ar	þar
Jiegar	Þegar
Jiegar	Þegar
Jjjóð-	Þjóð-
